9,MEX,Mexico,North America,Central America,1958201,1810,98881000,71.5,414972,México,Federal Republic,Vicente Fox Quesada,2515,MX
3,CHN,China,Asia,Eastern Asia,9572900,-1523,1277558000,71.4,982268,Zhongquo,Peoples Republic,Jiang Zemin,1891,CN
9,JPN,Japan,Asia,Eastern Asia,377829,-660,126714000,80.7,3787042,Nihon/Nippon,Constitutional Monarchy,Akihito,1532,JP
6,USA,United States,North America,North America,9363520,1776,278357000,77.1,8510700,United States,Federal Republic,George W. Bush,3813,US
9,FRA,France,Europe,Western Europe,551500,843,59225700,78.8,1424285,France,Republic,Jacques Chirac,2974,FR
4,BEL,Belgium,Europe,Western Europe,30518,1830,10239000,77.8,249704,België/Belgique,Constitutional Monarchy - Federation,Albert II,179,BE
7,GBR,United Kingdom,Europe,British Islands,242900,1066,59623400,77.7,1378330,United Kingdom,Constitutional Monarchy,Elisabeth II,456,GB
4,HTI,Haiti,North America,Caribbean,27750,1804,8222000,49.2,3459,Haïti/Dayti,Republic,Jean-Bertrand Aristide,929,HT
4,VEN,Venezuela,South America,South America,912050,1811,24170000,73.1,95023,Venezuela,Federal Republic,Hugo Chávez Frías,3539,VE
3,NIC,Nicaragua,North America,Central America,130000,1838,5074000,68.7,1988,Nicaragua,Republic,Arnoldo Alemán Lacayo,2734,NI
4,POL,Poland,Europe,Eastern Europe,323250,1918,38653600,73.2,151697,Polska,Republic,Aleksander Kwasniewski,2928,PL
